Shape,Price,Carat,Cut,Color,Clarity,Delivery Date
Cushion,$275,0.31,Very Good,K,VVS2,Jan 6
Cushion,$480,0.30,Very Good,D,SI1,Jan 6
Cushion,$522,0.40,Very Good,I,SI2,Jan 6
Cushion,$554,0.43,Very Good,J,VS2,Jan 6
Cushion,$561,0.46,Very Good,I,SI2,Jan 5
Cushion,$575,0.50,Very Good,K,VS2,Jan 5
Cushion,$577,0.30,Very Good,E,VVS1,Jan 6
Cushion,$584,0.41,Very Good,J,VS2,Jan 5
Cushion,$602,0.50,Very Good,J,VS2,Jan 5
Cushion,$611,0.30,Very Good,G,VVS2,Jan 5
Cushion,$614,0.30,Very Good,E,VVS2,Jan 4
Cushion,$620,0.50,Very Good,F,SI2,Jan 6
Cushion,$625,0.51,Very Good,K,VS1,Jan 5
Cushion,$650,0.40,Very Good,E,SI2,Jan 5
Cushion,$668,0.50,Very Good,H,SI1,Jan 5
Cushion,$674,0.51,Very Good,J,VS1,Jan 5
Cushion,$686,0.45,Very Good,I,SI1,Jan 5
Cushion,$687,0.50,Very Good,J,VS1,Jan 5
Cushion,$689,0.50,Very Good,J,VS2,Jan 5
Cushion,$689,0.50,Very Good,J,VS2,Jan 5
Cushion,$691,0.40,Very Good,D,SI2,Jan 5
Cushion,$693,0.30,Very Good,D,VVS2,Jan 4
Cushion,$698,0.43,Very Good,E,SI2,Jan 5
Cushion,$699,0.50,Very Good,I,SI1,Jan 6
Cushion,$709,0.51,Very Good,J,VVS2,Jan 5
Cushion,$709,0.55,Very Good,J,SI1,Jan 5
Cushion,$719,0.50,Very Good,I,VS1,Jan 5
Cushion,$726,0.50,Very Good,K,IF,Jan 5
Cushion,$726,0.52,Very Good,J,SI2,Jan 5
Cushion,$736,0.50,Very Good,F,SI2,Jan 6
Cushion,$744,0.51,Very Good,J,VVS1,Jan 5
Cushion,$744,0.51,Very Good,J,VVS1,Jan 5
Cushion,$744,0.51,Very Good,J,VVS1,Jan 5
Cushion,$746,0.50,Very Good,F,VVS2,Dec 30
Cushion,$747,0.50,Very Good,J,VS2,Jan 6
Cushion,$756,0.54,Very Good,G,SI1,Jan 5
Cushion,$763,0.50,Very Good,I,VS2,Jan 5
Cushion,$763,0.50,Very Good,I,VS2,Jan 5
Cushion,$763,0.50,Very Good,I,VS2,Jan 5
Cushion,$764,0.51,Very Good,H,SI1,Jan 6
Cushion,$779,0.51,Very Good,I,VS2,Jan 5
Cushion,$790,0.55,Very Good,I,VS1,Jan 5
Cushion,$790,0.55,Very Good,I,VS1,Jan 5
Cushion,$793,0.50,Very Good,F,SI1,Jan 6
Cushion,$796,0.50,Very Good,E,SI1,Jan 6
Cushion,$800,0.50,Very Good,I,VVS2,Jan 5
Cushion,$800,0.50,Very Good,H,VS2,Jan 5
Cushion,$800,0.50,Very Good,H,VS2,Jan 5
Cushion,$802,0.50,Very Good,J,VVS1,Jan 6
Cushion,$806,0.51,Very Good,J,SI1,Jan 5
Cushion,$808,0.61,Very Good,I,SI1,Jan 6
Cushion,$831,0.50,Very Good,J,VS2,Jan 5
Cushion,$831,0.50,Very Good,H,VS1,Jan 5
Cushion,$832,0.52,Very Good,H,VS2,Jan 5
Cushion,$834,0.50,Very Good,E,VS2,Jan 5
Cushion,$836,0.53,Very Good,J,SI1,Jan 5
Cushion,$847,0.50,Very Good,J,VS2,Jan 6
Cushion,$847,0.50,Very Good,H,VS2,Jan 6
Cushion,$848,0.51,Very Good,H,VS1,Jan 5
Cushion,$849,0.40,Very Good,D,SI1,Jan 5
Cushion,$849,0.40,Very Good,D,SI1,Jan 5
Cushion,$852,0.51,Very Good,G,SI2,Jan 5
Cushion,$853,0.60,Very Good,J,VS1,Jan 6
Cushion,$855,0.42,Very Good,I,VVS1,Jan 5
Cushion,$859,0.61,Very Good,E,SI2,Jan 6
Cushion,$864,0.52,Very Good,H,VS1,Jan 5
Cushion,$864,0.50,Very Good,G,VS2,Jan 5
Cushion,$864,0.50,Very Good,G,VS2,Jan 5
Cushion,$866,0.50,Very Good,F,SI1,Jan 6
Cushion,$868,0.57,Very Good,I,VS2,Jan 5
Cushion,$870,0.53,Very Good,G,VS2,Jan 6
Cushion,$872,0.60,Very Good,K,SI1,Jan 5
Cushion,$880,0.52,Very Good,H,VVS2,Jan 6
Cushion,$882,0.50,Very Good,I,IF,Jan 5
Cushion,$887,0.61,Very Good,K,SI1,Jan 5
Cushion,$888,0.50,Very Good,G,SI1,Jan 6
Cushion,$890,0.51,Very Good,E,VS2,Jan 5
Cushion,$890,0.51,Very Good,E,VS2,Jan 5
Cushion,$890,0.51,Very Good,H,VVS1,Jan 5
Cushion,$893,0.50,Very Good,D,VS2,Jan 5
Cushion,$897,0.60,Very Good,H,SI1,Jan 6
Cushion,$897,0.50,Very Good,G,VS1,Jan 5
Cushion,$897,0.50,Very Good,G,VS1,Jan 5
Cushion,$897,0.60,Very Good,J,VS2,Jan 5
Cushion,$897,0.50,Very Good,F,VS2,Jan 5
Cushion,$899,0.52,Very Good,H,VVS2,Jan 5
Cushion,$900,0.51,Very Good,H,VVS2,Jan 6
Cushion,$907,0.50,Very Good,I,SI1,Jan 6
Cushion,$910,0.50,Very Good,H,VS2,Jan 6
Cushion,$912,0.50,Very Good,E,SI2,Jan 5
Cushion,$912,0.60,Very Good,J,VVS2,Jan 6
Cushion,$914,0.53,Very Good,G,VS2,Jan 5
Cushion,$918,0.61,Very Good,F,SI1,Jan 6
Cushion,$920,0.51,Very Good,F,SI1,Jan 6
Cushion,$920,0.51,Very Good,E,VS2,Jan 6
Cushion,$922,0.50,Very Good,H,IF,Jan 5
Cushion,$923,0.53,Very Good,H,VVS1,Jan 5
Cushion,$925,0.62,Very Good,J,VS2,Jan 6
Cushion,$925,0.51,Very Good,I,SI1,Jan 6
Cushion,$929,0.50,Very Good,G,VS2,Jan 6
Cushion,$929,0.50,Very Good,G,VS2,Jan 6
Cushion,$929,0.50,Very Good,G,VVS2,Jan 5
Cushion,$930,0.51,Very Good,E,SI2,Jan 5
Cushion,$931,0.52,Very Good,G,VS1,Jan 5
Cushion,$931,0.50,Very Good,H,VS1,Jan 6
