Shape,Price,Carat,Cut,Color,Clarity,Delivery Date
Emerald,$280,0.24,Very Good,E,SI1,Jan 6
Emerald,$286,0.30,Very Good,J,SI1,Jan 6
Emerald,$290,0.25,Very Good,G,SI1,Jan 6
Emerald,$300,0.24,Very Good,H,VS2,Jan 6
Emerald,$310,0.24,Very Good,E,SI1,Jan 6
Emerald,$310,0.23,Very Good,G,VS1,Jan 6
Emerald,$320,0.31,Very Good,H,SI2,Jan 6
Emerald,$320,0.24,Very Good,G,VS1,Jan 6
Emerald,$330,0.23,Very Good,E,VS1,Jan 6
Emerald,$340,0.30,Very Good,I,SI1,Jan 6
Emerald,$350,0.30,Very Good,I,VS2,Jan 6
Emerald,$350,0.31,Very Good,F,SI2,Jan 6
Emerald,$350,0.24,Very Good,E,VS1,Jan 6
Emerald,$360,0.31,Very Good,E,SI2,Jan 6
Emerald,$360,0.23,Very Good,F,VS2,Jan 6
Emerald,$370,0.35,Very Good,E,SI1,Jan 6
Emerald,$380,0.38,Very Good,E,SI1,Jan 6
Emerald,$380,0.33,Very Good,E,SI1,Jan 6
Emerald,$380,0.25,Very Good,F,VS2,Jan 6
Emerald,$381,0.33,Very Good,I,VS2,Jan 6
Emerald,$392,0.30,Very Good,I,VS2,Jan 6
Emerald,$400,0.30,Very Good,D,SI2,Jan 6
Emerald,$400,0.26,Very Good,F,VS1,Jan 6
Emerald,$410,0.31,Very Good,H,VS2,Jan 6
Emerald,$410,0.32,Very Good,F,VS1,Jan 6
Emerald,$410,0.30,Very Good,H,VVS2,Jan 6
Emerald,$410,0.33,Very Good,D,SI1,Jan 6
Emerald,$410,0.27,Very Good,F,VS1,Jan 6
Emerald,$420,0.39,Very Good,E,SI2,Jan 6
Emerald,$430,0.30,Very Good,G,VVS2,Jan 6
Emerald,$435,0.30,Very Good,F,VVS2,Jan 6
Emerald,$439,0.30,Very Good,G,VS1,Jan 5
Emerald,$439,0.30,Very Good,H,VS1,Jan 5
Emerald,$439,0.30,Very Good,H,VVS1,Jan 5
Emerald,$440,0.30,Very Good,E,VS2,Jan 6
Emerald,$440,0.30,Very Good,E,SI2,Jan 6
Emerald,$452,0.30,Very Good,I,VVS2,Jan 6
Emerald,$454,0.31,Very Good,G,VS2,Jan 5
Emerald,$456,0.30,Very Good,F,VVS2,Jan 6
Emerald,$457,0.30,Very Good,E,VVS2,Jan 6
Emerald,$460,0.30,Very Good,F,VS1,Jan 5
Emerald,$466,0.31,Very Good,I,VS1,Jan 6
Emerald,$470,0.32,Very Good,I,IF,Jan 6
Emerald,$471,0.30,Very Good,F,IF,Jan 5
Emerald,$471,0.30,Very Good,F,VS1,Jan 5
Emerald,$471,0.30,Very Good,F,VS1,Jan 5
Emerald,$471,0.30,Very Good,F,VVS1,Jan 5
Emerald,$471,0.30,Very Good,F,VVS2,Jan 5
Emerald,$478,0.34,Very Good,F,VVS1,Jan 5
Emerald,$480,0.31,Very Good,E,VS1,Jan 6
Emerald,$480,0.30,Very Good,F,VS2,Jan 6
Emerald,$481,0.30,Very Good,F,VVS2,Jan 5
Emerald,$484,0.31,Very Good,F,VVS2,Jan 6
Emerald,$489,0.30,Very Good,F,VS2,Jan 6
Emerald,$490,0.31,Very Good,G,IF,Jan 6
Emerald,$490,0.31,Very Good,G,VS1,Jan 6
Emerald,$492,0.30,Very Good,E,VVS1,Jan 5
Emerald,$492,0.30,Very Good,E,VVS2,Jan 5
Emerald,$494,0.30,Very Good,D,VVS1,Jan 6
Emerald,$494,0.31,Very Good,D,VVS1,Jan 6
Emerald,$498,0.30,Very Good,H,VVS2,Jan 6
Emerald,$500,0.30,Very Good,E,VVS1,Jan 6
Emerald,$500,0.31,Very Good,G,VVS1,Jan 6
Emerald,$500,0.31,Very Good,F,VVS1,Jan 6
Emerald,$500,0.31,Very Good,F,VS2,Jan 6
Emerald,$501,0.37,Very Good,E,VS2,Jan 6
Emerald,$509,0.32,Very Good,E,VVS1,Jan 6
Emerald,$510,0.46,Very Good,G,SI2,Jan 6
Emerald,$510,0.32,Very Good,E,VVS2,Jan 6
Emerald,$510,0.30,Very Good,D,VS1,Jan 6
Emerald,$512,0.34,Very Good,I,VVS2,Jan 6
Emerald,$512,0.35,Very Good,H,VS2,Jan 6
Emerald,$513,0.33,Very Good,F,VS2,Jan 6
Emerald,$517,0.33,Very Good,H,VS2,Jan 6
Emerald,$520,0.30,Very Good,E,VVS1,Jan 6
Emerald,$520,0.31,Very Good,E,VS1,Jan 6
Emerald,$520,0.31,Very Good,F,VVS2,Jan 6
Emerald,$520,0.30,Very Good,F,VVS1,Jan 6
Emerald,$520,0.34,Very Good,E,SI1,Jan 6
Emerald,$520,0.47,Very Good,H,SI1,Jan 6
Emerald,$527,0.36,Very Good,H,VS2,Jan 6
Emerald,$527,0.36,Very Good,H,VS2,Jan 6
Emerald,$528,0.33,Very Good,H,VS2,Jan 6
Emerald,$530,0.41,Very Good,F,SI1,Jan 6
Emerald,$530,0.30,Very Good,E,VVS1,Jan 6
Emerald,$530,0.34,Very Good,G,IF,Jan 6
Emerald,$530,0.33,Very Good,E,VVS2,Jan 6
Emerald,$535,0.31,Very Good,D,VVS2,Jan 6
Emerald,$539,0.30,Very Good,E,VVS1,Jan 6
Emerald,$539,0.30,Very Good,D,VVS2,Jan 6
Emerald,$540,0.30,Very Good,D,VVS2,Jan 6
Emerald,$540,0.30,Very Good,E,VVS1,Jan 6
Emerald,$540,0.40,Very Good,F,VS2,Jan 6
Emerald,$540,0.33,Very Good,G,VVS2,Jan 6
Emerald,$540,0.33,Very Good,F,VVS2,Jan 6
Emerald,$540,0.33,Very Good,G,VVS2,Jan 6
Emerald,$542,0.30,Very Good,G,VS1,Jan 6
Emerald,$550,0.38,Very Good,F,VVS2,Jan 6
Emerald,$550,0.35,Very Good,H,VVS1,Jan 6
Emerald,$550,0.36,Very Good,G,IF,Jan 6
Emerald,$553,0.32,Very Good,G,IF,Jan 5
Emerald,$555,0.34,Very Good,G,VS1,Jan 6
Emerald,$557,0.31,Very Good,E,VVS1,Jan 6
Emerald,$561,0.31,Very Good,D,VVS1,Jan 6
Emerald,$562,0.42,Very Good,J,VVS2,Jan 6
Emerald,$564,0.35,Very Good,H,VVS2,Jan 6
Emerald,$567,0.37,Very Good,D,VVS1,Jan 5
Emerald,$568,0.30,Very Good,F,VVS1,Jan 5
Emerald,$568,0.34,Very Good,H,VS1,Jan 6
Emerald,$570,0.33,Very Good,F,IF,Jan 6
Emerald,$570,0.39,Very Good,H,VS2,Jan 6
Emerald,$578,0.35,Very Good,G,VS2,Jan 6
Emerald,$579,0.36,Very Good,G,VS2,Jan 6
Emerald,$579,0.33,Very Good,G,VS1,Jan 6
Emerald,$579,0.40,Very Good,G,VS2,Jan 6
Emerald,$580,0.50,Very Good,F,SI1,Jan 6
Emerald,$580,0.34,Very Good,G,VVS1,Jan 6
Emerald,$580,0.30,Very Good,F,VVS1,Jan 6
Emerald,$585,0.30,Very Good,E,VS1,Jan 6
Emerald,$587,0.36,Very Good,G,VS1,Jan 6
Emerald,$590,0.37,Very Good,G,VVS1,Jan 6
Emerald,$592,0.34,Very Good,E,IF,Jan 5
Emerald,$593,0.30,Very Good,D,VS1,Jan 6
Emerald,$593,0.35,Very Good,G,VS2,Jan 6
Emerald,$594,0.42,Very Good,D,SI1,Jan 6
Emerald,$600,0.50,Very Good,F,SI2,Jan 6
Emerald,$600,0.51,Very Good,F,SI2,Jan 6
Emerald,$604,0.31,Very Good,D,VVS1,Jan 6
Emerald,$604,0.31,Very Good,D,VVS1,Jan 6
Emerald,$605,0.35,Very Good,D,VVS2,Jan 6
Emerald,$609,0.32,Very Good,D,VVS1,Jan 6
Emerald,$610,0.38,Very Good,F,VVS2,Jan 6
Emerald,$610,0.40,Very Good,H,VS2,Jan 6
Emerald,$610,0.31,Very Good,E,VVS2,Jan 6
Emerald,$614,0.34,Very Good,H,VVS2,Jan 6
Emerald,$618,0.40,Very Good,J,VS1,Jan 6
