Shape,Price,Carat,Cut,Color,Clarity,Delivery Date
Heart,$735,0.30,Very Good,E,VS1,Jan 6
Heart,$756,0.50,Very Good,J,SI1,Jan 6
Heart,$781,0.50,Very Good,I,SI2,Jan 6
Heart,$801,0.50,Very Good,J,SI1,Jan 6
Heart,$823,0.55,Very Good,K,SI1,Jan 5
Heart,$834,0.50,Very Good,I,SI1,Jan 6
Heart,$835,0.50,Very Good,I,SI2,Jan 6
Heart,$855,0.50,Very Good,H,SI2,Jan 6
Heart,$895,0.50,Very Good,F,SI2,Jan 6
Heart,$953,0.50,Very Good,E,SI1,Jan 6
Heart,$971,0.50,Very Good,I,SI1,Jan 6
Heart,$971,0.50,Very Good,F,SI2,Jan 6
Heart,$986,0.50,Very Good,I,VS2,Jan 6
Heart,$998,0.51,Very Good,H,SI1,Jan 5
Heart,"$1,056",0.60,Very Good,J,SI1,Jan 5
Heart,"$1,063",0.40,Very Good,D,VS1,Jan 6
Heart,"$1,083",0.30,Very Good,E,IF,Jan 4
Heart,"$1,132",0.50,Very Good,I,VS2,Jan 5
Heart,"$1,169",0.51,Very Good,E,SI1,Jan 5
Heart,"$1,195",0.36,Very Good,E,IF,Jan 4
Heart,"$1,228",0.52,Very Good,E,SI1,Jan 5
Heart,"$1,229",0.50,Very Good,H,VS2,Jan 5
Heart,"$1,278",0.37,Very Good,E,VVS1,Jan 4
Heart,"$1,297",0.50,Very Good,F,VS2,Jan 6
Heart,"$1,297",0.50,Very Good,F,VS2,Jan 6
Heart,"$1,297",0.60,Very Good,I,VS2,Jan 6
Heart,"$1,300",0.53,Very Good,E,SI1,Jan 5
Heart,"$1,304",0.30,Very Good,D,IF,Jan 4
Heart,"$1,326",0.71,Very Good,I,SI2,Jan 6
Heart,"$1,332",0.50,Very Good,F,VS2,Jan 6
Heart,"$1,332",0.50,Very Good,F,VS2,Jan 6
Heart,"$1,335",0.42,Very Good,F,VVS1,Jan 6
Heart,"$1,339",0.51,Very Good,F,VS2,Jan 6
Heart,"$1,360",0.50,Very Good,F,VS2,Jan 5
Heart,"$1,388",0.32,Very Good,D,IF,Jan 4
Heart,"$1,398",0.52,Very Good,G,VS2,Jan 5
Heart,"$1,433",0.40,Very Good,E,VS1,Jan 4
Heart,"$1,436",0.50,Very Good,E,VS2,Jan 5
Heart,"$1,482",0.40,Very Good,E,VVS2,Jan 4
Heart,"$1,505",0.44,Very Good,D,VS1,Jan 4
Heart,"$1,510",0.73,Very Good,E,SI2,Jan 6
Heart,"$1,619",0.48,Very Good,F,VVS2,Jan 4
Heart,"$1,740",0.84,Very Good,I,SI2,Jan 6
Heart,"$1,750",0.40,Very Good,E,IF,Jan 4
Heart,"$1,814",0.80,Very Good,H,SI2,Jan 5
Heart,"$1,848",0.50,Very Good,F,VS1,Jan 4
Heart,"$1,848",0.90,Very Good,J,SI1,Jan 5
Heart,"$1,910",0.50,Very Good,F,VVS2,Jan 4
Heart,"$1,920",1.03,Very Good,K,SI2,Jan 6
