Shape,Price,Carat,Cut,Color,Clarity,Delivery Date
Marquise,$455,0.25,Very Good,D,SI1,Dec 30
Marquise,$588,0.33,Very Good,E,SI1,Jan 6
Marquise,$595,0.45,Very Good,H,SI2,Jan 5
Marquise,$627,0.40,Very Good,I,SI1,Jan 6
Marquise,$672,0.53,Very Good,H,SI2,Jan 5
Marquise,$719,0.51,Very Good,E,SI2,Jan 5
Marquise,$737,0.40,Very Good,D,SI2,Jan 6
Marquise,$743,0.48,Very Good,J,SI1,Jan 5
Marquise,$759,0.40,Very Good,F,VS2,Jan 6
Marquise,$764,0.43,Very Good,H,VS2,Jan 6
Marquise,$808,0.50,Very Good,F,SI2,Jan 5
Marquise,$831,0.50,Very Good,E,SI2,Jan 5
Marquise,$831,0.50,Very Good,I,SI2,Jan 6
Marquise,$852,0.54,Very Good,E,SI2,Jan 5
Marquise,$855,0.42,Very Good,H,VVS2,Jan 6
Marquise,$867,0.40,Very Good,D,SI1,Jan 6
Marquise,$868,0.48,Very Good,J,VS1,Jan 5
Marquise,$874,0.50,Very Good,F,SI2,Jan 5
Marquise,$874,0.50,Very Good,F,SI2,Jan 5
Marquise,$876,0.54,Very Good,I,SI2,Jan 5
Marquise,$890,0.40,Very Good,D,SI1,Jan 6
Marquise,$891,0.51,Very Good,F,SI2,Jan 5
Marquise,$904,0.47,Very Good,E,SI2,Jan 5
Marquise,$911,0.40,Very Good,G,VS2,Jan 6
Marquise,$915,0.50,Very Good,E,SI2,Jan 5
Marquise,$917,0.50,Very Good,E,SI2,Jan 5
Marquise,$938,0.50,Very Good,F,SI2,Jan 5
Marquise,$941,0.50,Very Good,F,SI2,Jan 6
Marquise,$944,0.48,Very Good,E,SI2,Jan 5
Marquise,$947,0.50,Very Good,G,SI2,Jan 5
Marquise,$948,0.35,Very Good,D,VS1,Jan 6
Marquise,$951,0.52,Very Good,E,SI2,Jan 5
Marquise,$965,0.50,Very Good,J,VVS2,Jan 5
Marquise,$965,0.50,Very Good,H,SI1,Jan 5
Marquise,$965,0.50,Very Good,H,SI1,Jan 5
Marquise,$966,0.50,Very Good,D,SI2,Jan 5
Marquise,$969,0.62,Very Good,J,VS2,Jan 6
Marquise,$982,0.50,Very Good,D,SI2,Jan 5
Marquise,$984,0.51,Very Good,H,SI1,Jan 5
Marquise,$984,0.33,Very Good,F,IF,Jan 6
Marquise,$994,0.49,Very Good,I,VS2,Jan 5
Marquise,$995,0.51,Very Good,J,VS2,Jan 5
Marquise,"$1,019",0.59,Very Good,G,SI2,Jan 5
Marquise,"$1,021",0.52,Very Good,D,SI2,Jan 5
Marquise,"$1,030",0.51,Very Good,H,SI1,Jan 5
Marquise,"$1,032",0.51,Very Good,D,SI2,Jan 5
Marquise,"$1,033",0.51,Very Good,G,SI1,Jan 5
Marquise,"$1,036",0.50,Very Good,D,SI1,Jan 5
Marquise,"$1,038",0.47,Very Good,F,SI1,Jan 5
Marquise,"$1,064",0.51,Very Good,D,SI2,Jan 5
Marquise,"$1,069",0.60,Very Good,G,SI2,Jan 5
Marquise,"$1,076",0.51,Very Good,F,SI1,Jan 5
Marquise,"$1,077",0.53,Very Good,D,SI2,Jan 5
Marquise,"$1,081",0.50,Very Good,E,SI1,Jan 5
Marquise,"$1,086",0.49,Very Good,G,SI1,Jan 5
Marquise,"$1,088",0.60,Very Good,I,SI2,Jan 5
Marquise,"$1,094",0.51,Very Good,F,SI1,Jan 5
Marquise,"$1,098",0.55,Very Good,I,SI1,Jan 5
Marquise,"$1,104",0.50,Very Good,I,VS1,Jan 5
Marquise,"$1,108",0.50,Very Good,D,SI1,Jan 5
Marquise,"$1,108",0.50,Very Good,D,SI1,Jan 5
Marquise,"$1,115",0.55,Very Good,G,SI2,Jan 5
Marquise,"$1,138",0.54,Very Good,I,SI1,Jan 5
Marquise,"$1,147",0.61,Very Good,G,SI2,Jan 5
Marquise,"$1,148",0.60,Very Good,E,SI2,Jan 6
Marquise,"$1,156",0.50,Very Good,E,SI1,Jan 5
Marquise,"$1,158",0.50,Very Good,H,SI1,Jan 5
Marquise,"$1,159",0.64,Very Good,K,VS2,Jan 6
Marquise,"$1,164",0.48,Very Good,G,SI1,Jan 5
