Shape,Price,Carat,Cut,Color,Clarity,Delivery Date
Oval,$319,0.24,Very Good,E,SI1,Jan 5
Oval,$330,0.29,Very Good,F,SI1,Jan 6
Oval,$350,0.25,Very Good,F,VS2,Jan 6
Oval,$363,0.31,Very Good,I,VS1,Jan 5
Oval,$376,0.30,Very Good,G,SI2,Jan 6
Oval,$383,0.32,Very Good,J,VVS1,Jan 6
Oval,$390,0.31,Very Good,I,VVS1,Jan 6
Oval,$395,0.35,Very Good,J,SI1,Jan 6
Oval,$397,0.30,Very Good,F,SI2,Jan 5
Oval,$402,0.30,Very Good,F,SI2,Jan 6
Oval,$410,0.31,Very Good,F,SI2,Jan 5
Oval,$410,0.31,Very Good,E,SI1,Jan 6
Oval,$410,0.27,Very Good,F,VS1,Jan 6
Oval,$411,0.30,Very Good,I,VS2,Jan 6
Oval,$418,0.30,Very Good,H,SI1,Jan 6
Oval,$423,0.32,Very Good,H,SI1,Jan 6
Oval,$424,0.30,Very Good,F,SI2,Jan 6
Oval,$428,0.30,Very Good,I,SI1,Jan 6
Oval,$428,0.30,Very Good,E,SI2,Jan 5
Oval,$428,0.30,Very Good,E,SI2,Jan 5
Oval,$428,0.30,Very Good,E,SI2,Jan 5
Oval,$428,0.30,Very Good,E,SI2,Jan 5
Oval,$430,0.28,Very Good,E,VVS2,Jan 6
Oval,$430,0.34,Very Good,F,SI2,Jan 6
Oval,$433,0.30,Very Good,I,VS1,Jan 6
Oval,$439,0.30,Very Good,I,VS1,Jan 6
Oval,$440,0.30,Very Good,I,VVS1,Jan 6
Oval,$440,0.30,Very Good,F,VS2,Jan 6
Oval,$440,0.30,Very Good,F,VS2,Jan 6
Oval,$440,0.33,Very Good,D,SI2,Jan 6
Oval,$440,0.35,Very Good,F,SI2,Jan 6
Oval,$440,0.31,Very Good,F,SI1,Jan 6
Oval,$441,0.31,Very Good,I,VS1,Jan 6
Oval,$441,0.30,Very Good,D,SI1,Jan 5
Oval,$450,0.30,Very Good,E,VS2,Jan 6
Oval,$451,0.30,Very Good,I,VS1,Jan 6
Oval,$451,0.30,Very Good,I,VS1,Jan 6
Oval,$451,0.30,Very Good,I,VS1,Jan 6
Oval,$454,0.31,Very Good,I,VS1,Jan 6
Oval,$455,0.32,Very Good,I,VS2,Jan 6
Oval,$460,0.34,Very Good,E,VS2,Jan 6
Oval,$460,0.33,Very Good,H,VS1,Jan 6
Oval,$460,0.25,Very Good,D,VVS2,Jan 6
Oval,$470,0.31,Very Good,E,VVS2,Jan 6
Oval,$470,0.30,Very Good,G,VVS2,Jan 6
Oval,$470,0.30,Very Good,E,VS2,Jan 6
Oval,$474,0.32,Very Good,G,SI1,Jan 6
Oval,$480,0.32,Very Good,E,VS2,Jan 6
Oval,$480,0.32,Very Good,E,SI1,Jan 6
Oval,$480,0.34,Very Good,E,SI2,Jan 6
Oval,$489,0.30,Very Good,E,SI1,Jan 5
Oval,$489,0.30,Very Good,E,SI1,Jan 5
Oval,$490,0.33,Very Good,F,SI1,Jan 6
Oval,$490,0.30,Very Good,F,VS2,Jan 6
Oval,$492,0.31,Very Good,G,SI1,Jan 6
Oval,$500,0.30,Very Good,E,VS1,Jan 6
Oval,$500,0.31,Very Good,E,VS1,Jan 6
Oval,$500,0.30,Very Good,D,VS2,Jan 6
Oval,$500,0.30,Very Good,F,VVS2,Jan 6
Oval,$500,0.30,Very Good,G,VVS2,Jan 6
Oval,$509,0.30,Very Good,G,VS2,Jan 5
Oval,$510,0.31,Very Good,F,VVS2,Jan 6
Oval,$511,0.30,Very Good,F,VS2,Jan 6
Oval,$520,0.30,Very Good,D,VVS2,Jan 6
Oval,$520,0.30,Very Good,E,VS1,Jan 6
Oval,$523,0.40,Very Good,I,SI1,Jan 6
Oval,$526,0.31,Very Good,H,VS1,Jan 5
Oval,$530,0.32,Very Good,G,VS2,Jan 6
Oval,$530,0.32,Very Good,E,VVS1,Jan 6
Oval,$533,0.34,Very Good,H,VS2,Jan 6
Oval,$538,0.30,Very Good,H,VS1,Jan 6
Oval,$540,0.38,Very Good,F,VS1,Jan 6
Oval,$540,0.32,Very Good,E,VVS1,Jan 6
Oval,$540,0.33,Very Good,G,VVS2,Jan 6
Oval,$540,0.33,Very Good,G,VS2,Jan 6
Oval,$540,0.31,Very Good,E,VS2,Jan 6
Oval,$540,0.31,Very Good,F,VS1,Jan 6
Oval,$540,0.30,Very Good,E,VS1,Jan 6
Oval,$540,0.30,Very Good,F,VVS2,Jan 6
Oval,$550,0.31,Very Good,D,VS1,Jan 6
Oval,$550,0.31,Very Good,E,VVS2,Jan 6
Oval,$550,0.32,Very Good,E,VS1,Jan 6
Oval,$550,0.32,Very Good,E,VS1,Jan 6
Oval,$550,0.34,Very Good,F,VS2,Jan 6
Oval,$552,0.30,Very Good,G,VS2,Jan 6
Oval,$559,0.33,Very Good,H,VS1,Jan 5
Oval,$564,0.30,Very Good,G,VS1,Jan 5
Oval,$564,0.30,Very Good,E,VS2,Jan 5
Oval,$565,0.30,Very Good,H,VS1,Jan 6
Oval,$570,0.34,Very Good,E,VS2,Jan 6
Oval,$570,0.35,Very Good,F,VS2,Jan 6
Oval,$578,0.30,Very Good,D,SI1,Jan 6
Oval,$578,0.30,Very Good,F,VS2,Jan 6
Oval,$580,0.32,Very Good,D,VVS1,Jan 6
Oval,$580,0.30,Very Good,G,VS1,Jan 6
Oval,$580,0.34,Very Good,E,VS2,Jan 6
Oval,$585,0.35,Very Good,I,VVS2,Jan 6
Oval,$585,0.30,Very Good,F,VVS2,Jan 6
Oval,$590,0.39,Very Good,G,VS2,Jan 6
Oval,$593,0.30,Very Good,F,VS2,Jan 6
Oval,$595,0.30,Very Good,D,VS2,Jan 5
Oval,$595,0.30,Very Good,F,VS1,Jan 5
Oval,$600,0.32,Very Good,G,VVS1,Jan 6
Oval,$600,0.33,Very Good,F,VVS2,Jan 6
Oval,$600,0.37,Very Good,E,SI1,Jan 6
Oval,$610,0.33,Very Good,F,VVS1,Jan 6
Oval,$610,0.34,Very Good,F,VVS1,Jan 6
Oval,$610,0.31,Very Good,E,VVS1,Jan 6
Oval,$610,0.34,Very Good,G,VVS2,Jan 6
Oval,$610,0.44,Very Good,E,SI2,Jan 6
Oval,$610,0.33,Very Good,F,VS1,Jan 6
Oval,$620,0.33,Very Good,G,VS1,Jan 5
Oval,$620,0.36,Very Good,F,VS1,Jan 6
Oval,$621,0.40,Very Good,F,SI1,Jan 6
Oval,$626,0.30,Very Good,F,VVS2,Jan 5
Oval,$630,0.37,Very Good,G,VVS1,Jan 6
Oval,$630,0.41,Very Good,G,SI1,Jan 6
Oval,$630,0.32,Very Good,D,VS1,Jan 6
Oval,$630,0.35,Very Good,E,VS1,Jan 6
Oval,$637,0.30,Very Good,D,VS2,Jan 6
Oval,$637,0.30,Very Good,D,VS2,Jan 6
Oval,$640,0.32,Very Good,D,VVS2,Jan 6
Oval,$647,0.31,Very Good,E,VS1,Jan 5
Oval,$649,0.30,Very Good,D,VS1,Jan 5
Oval,$649,0.30,Very Good,D,VS1,Jan 5
Oval,$650,0.36,Very Good,G,VVS2,Jan 6
Oval,$650,0.37,Very Good,D,VS2,Jan 6
Oval,$655,0.33,Very Good,E,VVS1,Jan 6
Oval,$656,0.32,Very Good,F,VS2,Jan 6
Oval,$657,0.35,Very Good,I,VVS2,Jan 6
Oval,$660,0.34,Very Good,D,VS1,Jan 6
Oval,$663,0.30,Very Good,F,VVS2,Jan 6
Oval,$668,0.32,Very Good,E,VS2,Jan 6
Oval,$670,0.40,Very Good,E,VS2,Jan 6
Oval,$670,0.40,Very Good,E,VS2,Jan 6
Oval,$679,0.33,Very Good,D,SI1,Jan 6
Oval,$680,0.46,Very Good,F,SI1,Jan 6
Oval,$680,0.40,Very Good,F,VS1,Jan 6
Oval,$681,0.40,Very Good,I,VS2,Jan 5
Oval,$686,0.40,Very Good,F,VS2,Jan 6
Oval,$690,0.41,Very Good,E,VS1,Jan 6
Oval,$694,0.40,Very Good,E,SI2,Jan 5
Oval,$694,0.40,Very Good,E,SI2,Jan 5
Oval,$694,0.40,Very Good,E,SI2,Jan 5
Oval,$698,0.37,Very Good,E,VVS1,Jan 5
Oval,$700,0.45,Very Good,G,SI1,Jan 6
Oval,$704,0.32,Very Good,G,VVS2,Jan 6
Oval,$718,0.34,Very Good,E,VS2,Jan 6
Oval,$720,0.44,Very Good,G,SI1,Jan 6
Oval,$723,0.50,Very Good,J,SI1,Jan 5
Oval,$737,0.40,Very Good,D,SI2,Jan 5
Oval,$746,0.30,Very Good,D,VS1,Jan 6
Oval,$749,0.40,Very Good,H,VS2,Jan 6
Oval,$750,0.40,Very Good,F,VVS2,Jan 6
Oval,$760,0.40,Very Good,I,VS1,Jan 5
Oval,$760,0.40,Very Good,D,VVS2,Jan 6
Oval,$791,0.50,Very Good,J,VS1,Jan 5
Oval,$798,0.40,Very Good,H,VS2,Jan 6
Oval,$800,0.42,Very Good,D,VS2,Jan 6
Oval,$812,0.50,Very Good,J,VS2,Jan 5
