Shape,Price,Carat,Cut,Color,Clarity,Delivery Date
Pear,$270,0.24,Very Good,I,VS2,Jan 6
Pear,$350,0.32,Very Good,F,SI1,Jan 6
Pear,$380,0.25,Very Good,E,SI1,Jan 6
Pear,$380,0.24,Very Good,D,VS2,Jan 6
Pear,$390,0.30,Very Good,I,VVS2,Jan 6
Pear,$390,0.24,Very Good,E,VVS1,Jan 6
Pear,$390,0.24,Very Good,E,VVS1,Jan 6
Pear,$400,0.25,Very Good,E,VVS1,Jan 6
Pear,$420,0.23,Very Good,D,VVS2,Jan 6
Pear,$430,0.33,Very Good,D,SI1,Jan 6
Pear,$430,0.24,Very Good,E,VVS1,Jan 6
Pear,$439,0.30,Very Good,G,IF,Jan 5
Pear,$460,0.30,Very Good,D,VS2,Jan 6
Pear,$460,0.30,Very Good,F,VS2,Jan 6
Pear,$460,0.31,Very Good,F,SI1,Jan 6
Pear,$460,0.29,Very Good,E,VVS2,Jan 6
Pear,$460,0.25,Very Good,E,VVS2,Jan 6
Pear,$470,0.30,Very Good,F,VS1,Jan 6
Pear,$480,0.30,Very Good,D,VS2,Jan 6
Pear,$480,0.27,Very Good,D,VS2,Jan 6
Pear,$489,0.39,Very Good,J,VS2,Jan 6
Pear,$490,0.30,Very Good,F,VS2,Jan 6
Pear,$490,0.30,Very Good,E,VS1,Jan 6
Pear,$490,0.30,Very Good,F,VVS1,Jan 6
Pear,$490,0.31,Very Good,F,VS2,Jan 6
Pear,$490,0.30,Very Good,E,VS1,Jan 6
Pear,$490,0.33,Very Good,F,SI1,Jan 6
Pear,$490,0.33,Very Good,F,SI1,Jan 6
Pear,$490,0.35,Very Good,F,SI1,Jan 6
Pear,$500,0.30,Very Good,F,VVS2,Jan 6
Pear,$500,0.31,Very Good,F,VS2,Jan 6
Pear,$500,0.31,Very Good,F,VS2,Jan 6
Pear,$500,0.33,Very Good,G,VS2,Jan 6
Pear,$510,0.40,Very Good,F,SI2,Jan 6
Pear,$510,0.30,Very Good,G,VS1,Jan 6
Pear,$510,0.30,Very Good,G,VS1,Jan 6
Pear,$520,0.30,Very Good,F,VVS2,Jan 6
Pear,$520,0.30,Very Good,F,VVS2,Jan 6
Pear,$530,0.33,Very Good,G,VVS2,Jan 6
Pear,$530,0.32,Very Good,E,VVS1,Jan 6
Pear,$530,0.30,Very Good,E,VS2,Jan 6
Pear,$530,0.33,Very Good,F,VS1,Jan 6
Pear,$530,0.31,Very Good,E,VS1,Jan 6
Pear,$530,0.31,Very Good,G,VVS1,Jan 6
Pear,$530,0.41,Very Good,G,SI2,Jan 6
Pear,$539,0.35,Very Good,D,SI1,Jan 5
Pear,$540,0.31,Very Good,F,SI1,Jan 6
Pear,$540,0.30,Very Good,D,VVS2,Jan 6
Pear,$540,0.30,Very Good,D,VVS2,Jan 6
Pear,$540,0.32,Very Good,H,VVS1,Jan 6
Pear,$550,0.30,Very Good,D,VVS1,Jan 6
Pear,$550,0.32,Very Good,F,VVS2,Jan 6
Pear,$550,0.31,Very Good,F,VVS1,Jan 6
Pear,$550,0.30,Very Good,D,VS2,Jan 6
Pear,$550,0.32,Very Good,G,VS1,Jan 6
Pear,$550,0.32,Very Good,E,VS2,Jan 6
Pear,$550,0.33,Very Good,G,VS1,Jan 6
Pear,$557,0.32,Very Good,D,VVS1,Jan 5
Pear,$560,0.31,Very Good,F,VVS1,Jan 6
Pear,$560,0.33,Very Good,E,VS2,Jan 6
Pear,$560,0.31,Very Good,F,VVS1,Jan 6
Pear,$560,0.37,Very Good,G,VS2,Jan 6
Pear,$562,0.31,Very Good,G,IF,Jan 5
Pear,$570,0.30,Very Good,E,IF,Jan 6
Pear,$570,0.32,Very Good,E,VS1,Jan 6
Pear,$570,0.43,Very Good,I,SI1,Jan 6
Pear,$571,0.32,Very Good,E,VVS2,Jan 6
Pear,$580,0.31,Very Good,E,VVS1,Jan 6
Pear,$580,0.42,Very Good,I,VVS2,Jan 6
Pear,$580,0.32,Very Good,G,VVS1,Jan 6
Pear,$580,0.31,Very Good,F,VVS1,Jan 6
Pear,$580,0.36,Very Good,F,VS2,Jan 6
Pear,$580,0.31,Very Good,E,VS1,Jan 6
Pear,$590,0.30,Very Good,E,VS2,Jan 6
Pear,$590,0.35,Very Good,G,VVS2,Jan 6
Pear,$590,0.31,Very Good,E,IF,Jan 6
Pear,$590,0.33,Very Good,G,VVS1,Jan 6
Pear,$596,0.31,Very Good,D,VVS2,Jan 5
Pear,$600,0.32,Very Good,E,IF,Jan 6
Pear,$600,0.31,Very Good,D,VVS1,Jan 6
Pear,$600,0.34,Very Good,F,VS1,Jan 6
Pear,$610,0.38,Very Good,F,VVS1,Jan 6
Pear,$610,0.40,Very Good,G,SI1,Jan 6
Pear,$620,0.32,Very Good,F,VVS2,Jan 6
Pear,$620,0.35,Very Good,G,VVS1,Jan 6
Pear,$624,0.40,Very Good,I,VS2,Jan 5
Pear,$630,0.34,Very Good,D,VVS2,Jan 6
Pear,$630,0.31,Very Good,D,VVS2,Jan 6
Pear,$630,0.34,Very Good,F,VVS2,Jan 6
Pear,$630,0.41,Very Good,I,VS2,Jan 6
Pear,$650,0.31,Very Good,D,VVS1,Jan 6
Pear,$650,0.32,Very Good,E,VVS1,Jan 6
Pear,$653,0.30,Very Good,E,VVS2,Jan 6
Pear,$660,0.38,Very Good,F,VS1,Jan 6
Pear,$670,0.32,Very Good,D,SI2,Jan 6
Pear,$670,0.30,Very Good,E,SI1,Jan 6
Pear,$670,0.41,Very Good,F,SI1,Jan 6
Pear,$670,0.30,Very Good,D,VS1,Jan 6
Pear,$680,0.32,Very Good,E,VVS2,Jan 6
