Shape,Price,Carat,Cut,Color,Clarity,Delivery Date
Radiant,$417,0.28,Very Good,E,IF,Jan 6
Radiant,$417,0.35,Very Good,D,SI2,Jan 6
Radiant,$419,0.42,Very Good,K,VS2,Jan 6
Radiant,$492,0.33,Very Good,D,SI2,Jan 6
Radiant,$518,0.34,Very Good,F,VVS1,Jan 6
Radiant,$550,0.30,Very Good,E,VS1,Jan 6
Radiant,$598,0.44,Very Good,F,SI2,Jan 6
Radiant,$618,0.42,Very Good,H,SI1,Jan 6
Radiant,$646,0.31,Very Good,E,VS1,Jan 6
Radiant,$659,0.35,Very Good,E,VS2,Jan 6
Radiant,$663,0.42,Very Good,F,VS2,Jan 6
Radiant,$666,0.40,Very Good,F,VS1,Jan 6
Radiant,$666,0.40,Very Good,F,VS2,Jan 6
Radiant,$673,0.46,Very Good,D,SI2,Jan 6
Radiant,$689,0.35,Very Good,E,VVS2,Jan 6
Radiant,$690,0.50,Very Good,J,SI1,Jan 6
Radiant,$700,0.50,Very Good,K,VS1,Jan 5
Radiant,$700,0.57,Very Good,J,SI2,Jan 6
Radiant,$702,0.50,Very Good,I,SI1,Jan 6
Radiant,$720,0.52,Very Good,G,SI2,Jan 6
Radiant,$724,0.47,Very Good,H,SI1,Jan 6
Radiant,$729,0.41,Very Good,H,VS1,Jan 6
Radiant,$729,0.40,Very Good,F,VS1,Jan 6
Radiant,$734,0.50,Very Good,J,VS1,Jan 6
Radiant,$734,0.40,Very Good,G,VS2,Jan 6
Radiant,$750,0.58,Very Good,I,SI2,Jan 6
Radiant,$750,0.50,Very Good,J,VS2,Jan 5
Radiant,$750,0.57,Very Good,H,SI2,Jan 6
Radiant,$763,0.50,Very Good,H,SI1,Jan 5
Radiant,$770,0.42,Very Good,E,VS2,Jan 6
Radiant,$780,0.50,Very Good,F,SI1,Jan 6
Radiant,$783,0.41,Very Good,G,VVS1,Jan 6
Radiant,$794,0.50,Very Good,I,VS2,Jan 6
Radiant,$810,0.58,Very Good,F,SI2,Jan 6
Radiant,$810,0.43,Very Good,F,VS1,Jan 6
Radiant,$817,0.58,Very Good,J,VS2,Jan 6
Radiant,$818,0.50,Very Good,G,SI1,Jan 6
Radiant,$826,0.50,Very Good,K,VVS2,Jan 5
Radiant,$835,0.41,Very Good,F,VVS1,Jan 6
Radiant,$838,0.50,Very Good,I,VS2,Jan 5
Radiant,$843,0.50,Very Good,J,VVS1,Jan 6
Radiant,$850,0.50,Very Good,G,VS2,Jan 6
Radiant,$860,0.51,Very Good,G,SI1,Jan 6
Radiant,$863,0.59,Very Good,J,VS1,Jan 6
Radiant,$864,0.48,Very Good,H,VS1,Jan 6
Radiant,$872,0.50,Very Good,G,SI1,Jan 6
Radiant,$876,0.51,Very Good,I,VS2,Jan 6
Radiant,$876,0.50,Very Good,I,VS1,Jan 5
Radiant,$880,0.52,Very Good,D,VS1,Jan 6
Radiant,$883,0.50,Very Good,I,VVS1,Jan 5
Radiant,$891,0.51,Very Good,I,VS2,Jan 6
Radiant,$893,0.42,Very Good,F,VVS2,Jan 6
Radiant,$896,0.51,Very Good,I,SI2,Jan 5
Radiant,$896,0.51,Very Good,I,VS2,Jan 6
Radiant,$900,0.51,Very Good,F,VS2,Jan 6
Radiant,$907,0.50,Very Good,D,SI1,Jan 6
Radiant,$909,0.50,Very Good,I,VS1,Jan 6
Radiant,$917,0.45,Very Good,G,VVS1,Jan 6
Radiant,$917,0.52,Very Good,F,SI1,Jan 5
Radiant,$928,0.52,Very Good,E,SI1,Jan 6
Radiant,$929,0.40,Very Good,F,VVS1,Jan 5
Radiant,$930,0.54,Very Good,H,VS2,Jan 6
Radiant,$934,0.51,Very Good,E,SI1,Jan 6
Radiant,$940,0.51,Very Good,E,VS2,Jan 6
Radiant,$947,0.51,Very Good,H,VS2,Jan 5
Radiant,$948,0.64,Very Good,H,SI2,Jan 6
Radiant,$958,0.55,Very Good,H,SI1,Jan 5
Radiant,$960,0.51,Very Good,F,VS2,Jan 6
Radiant,$960,0.50,Very Good,G,VS2,Jan 6
Radiant,$960,0.51,Very Good,H,VVS2,Jan 6
Radiant,$970,0.50,Very Good,I,VVS2,Jan 6
Radiant,$970,0.51,Very Good,G,VVS1,Jan 6
Radiant,$971,0.50,Very Good,D,SI1,Jan 6
Radiant,$975,0.40,Very Good,F,IF,Jan 6
Radiant,$977,0.45,Very Good,F,VVS2,Jan 6
Radiant,$979,0.55,Very Good,I,VS1,Jan 6
Radiant,$980,0.56,Very Good,G,VVS1,Jan 6
Radiant,$985,0.58,Very Good,I,VS2,Jan 6
Radiant,$986,0.50,Very Good,I,VS2,Jan 5
Radiant,$989,0.51,Very Good,H,SI2,Jan 5
Radiant,$995,0.50,Very Good,I,VS2,Jan 6
Radiant,$996,0.57,Very Good,F,SI1,Jan 6
Radiant,$999,0.50,Very Good,I,VVS1,Jan 6
Radiant,"$1,001",0.55,Very Good,I,VS2,Jan 5
Radiant,"$1,002",0.56,Very Good,G,SI2,Jan 5
Radiant,"$1,003",0.50,Very Good,G,SI1,Jan 6
Radiant,"$1,008",0.50,Very Good,F,VS2,Jan 6
Radiant,"$1,008",0.50,Very Good,F,VS2,Jan 6
Radiant,"$1,015",0.52,Very Good,H,VS1,Jan 6
Radiant,"$1,020",0.53,Very Good,F,VS2,Jan 6
Radiant,"$1,024",0.50,Very Good,F,VS2,Jan 5
Radiant,"$1,024",0.50,Very Good,G,VS1,Jan 5
Radiant,"$1,024",0.50,Very Good,G,VS1,Jan 5
Radiant,"$1,024",0.50,Very Good,F,VS2,Jan 5
Radiant,"$1,026",0.50,Very Good,H,VS2,Jan 6
Radiant,"$1,039",0.51,Very Good,H,VS2,Jan 5
Radiant,"$1,040",0.52,Very Good,F,VVS2,Jan 6
Radiant,"$1,045",0.50,Very Good,E,SI2,Jan 5
Radiant,"$1,056",0.40,Very Good,E,IF,Jan 5
Radiant,"$1,056",0.40,Very Good,E,IF,Jan 5
Radiant,"$1,058",0.51,Very Good,G,VS2,Jan 5
Radiant,"$1,058",0.51,Very Good,G,VS2,Jan 5
Radiant,"$1,060",0.52,Very Good,E,VS1,Jan 6
Radiant,"$1,060",0.51,Very Good,G,VS1,Jan 6
Radiant,"$1,070",0.55,Very Good,H,VS2,Jan 6
Radiant,"$1,070",0.53,Very Good,G,VS1,Jan 6
Radiant,"$1,077",0.50,Very Good,F,VS1,Jan 6
Radiant,"$1,097",0.60,Very Good,J,VS1,Jan 5
Radiant,"$1,097",0.50,Very Good,F,VS1,Jan 5
Radiant,"$1,098",0.50,Very Good,H,VS1,Jan 5
Radiant,"$1,098",0.50,Very Good,H,VS1,Jan 5
Radiant,"$1,100",0.56,Very Good,D,SI2,Jan 6
Radiant,"$1,100",0.71,Very Good,H,SI2,Jan 6
Radiant,"$1,106",0.57,Very Good,H,VVS2,Jan 6
Radiant,"$1,111",0.50,Very Good,D,VS2,Jan 5
Radiant,"$1,116",0.51,Very Good,F,VS1,Jan 5
Radiant,"$1,118",0.51,Very Good,I,VS2,Jan 5
Radiant,"$1,120",0.51,Very Good,H,VS1,Jan 5
Radiant,"$1,121",0.50,Very Good,F,VS1,Jan 6
Radiant,"$1,122",0.52,Very Good,E,VS2,Jan 6
Radiant,"$1,132",0.50,Very Good,F,VVS2,Jan 5
Radiant,"$1,133",0.50,Very Good,G,VVS2,Jan 6
Radiant,"$1,141",0.51,Very Good,E,VS1,Jan 6
Radiant,"$1,156",0.53,Very Good,H,SI1,Jan 6
Radiant,"$1,159",0.50,Very Good,H,VVS2,Jan 6
Radiant,"$1,172",0.52,Very Good,G,VS1,Jan 6
Radiant,"$1,178",0.53,Very Good,G,VVS2,Jan 6
Radiant,"$1,183",0.57,Very Good,G,VS1,Jan 6
Radiant,"$1,185",0.70,Very Good,H,SI2,Jan 6
Radiant,"$1,187",0.59,Very Good,D,SI2,Jan 6
Radiant,"$1,189",0.45,Very Good,D,VS1,Jan 6
Radiant,"$1,204",0.50,Very Good,I,VS1,Jan 5
Radiant,"$1,205",0.60,Very Good,I,VS2,Jan 6
Radiant,"$1,205",0.50,Very Good,F,VVS1,Jan 5
Radiant,"$1,207",0.50,Very Good,G,VVS2,Jan 6
Radiant,"$1,210",0.40,Very Good,E,VVS2,Jan 4
Radiant,"$1,210",0.61,Very Good,J,VVS1,Jan 6
Radiant,"$1,215",0.57,Very Good,G,VVS2,Jan 6
Radiant,"$1,215",0.57,Very Good,G,VVS2,Jan 6
Radiant,"$1,218",0.50,Very Good,E,VVS2,Jan 6
Radiant,"$1,218",0.50,Very Good,D,VS1,Jan 6
Radiant,"$1,219",0.50,Very Good,E,VVS2,Jan 6
Radiant,"$1,225",0.60,Very Good,J,VVS1,Jan 6
Radiant,"$1,225",0.51,Very Good,F,VS2,Jan 6
Radiant,"$1,227",0.70,Very Good,K,VS2,Jan 6
Radiant,"$1,229",0.50,Very Good,D,VS2,Jan 5
Radiant,"$1,231",0.50,Very Good,G,VS2,Jan 5
Radiant,"$1,233",0.52,Very Good,E,VS2,Jan 5
Radiant,"$1,235",0.50,Very Good,I,VS1,Jan 5
Radiant,"$1,236",0.52,Very Good,F,VS1,Jan 6
Radiant,"$1,240",0.57,Very Good,F,VVS1,Jan 6
Radiant,"$1,251",0.51,Very Good,D,VS1,Jan 6
Radiant,"$1,254",0.50,Very Good,D,VS1,Jan 6
Radiant,"$1,255",0.51,Very Good,G,VS2,Jan 6
Radiant,"$1,260",0.66,Very Good,F,VS2,Jan 6
Radiant,"$1,264",0.52,Very Good,D,VS1,Jan 6
Radiant,"$1,270",0.60,Very Good,H,VS1,Jan 5
Radiant,"$1,279",0.51,Very Good,D,VVS2,Jan 6
Radiant,"$1,281",0.52,Very Good,D,VS1,Jan 6
Radiant,"$1,281",0.52,Very Good,D,VS1,Jan 6
Radiant,"$1,297",0.59,Very Good,I,VS1,Jan 6
Radiant,"$1,297",0.70,Very Good,K,VVS2,Jan 6
Radiant,"$1,298",0.50,Very Good,H,VS2,Jan 5
Radiant,"$1,304",0.55,Very Good,E,VVS2,Jan 6
Radiant,"$1,306",0.73,Very Good,J,VS2,Jan 6
Radiant,"$1,308",0.50,Very Good,F,VVS1,Jan 6
Radiant,"$1,308",0.50,Very Good,F,VVS1,Jan 6
Radiant,"$1,308",0.60,Very Good,E,VVS2,Jan 6
Radiant,"$1,315",0.52,Very Good,F,VVS1,Jan 5
Radiant,"$1,319",0.62,Very Good,I,VS2,Jan 6
