Shape,Price,Carat,Cut,Color,Clarity,Delivery Date
Princess,$282,0.30,Very Good,K,VS2,Jan 5
Princess,$320,0.30,Very Good,E,SI2,Jan 6
Princess,$320,0.24,Very Good,D,VS2,Jan 6
Princess,$340,0.30,Very Good,F,SI1,Jan 6
Princess,$370,0.30,Very Good,F,SI1,Jan 6
Princess,$370,0.31,Very Good,E,SI1,Jan 6
Princess,$390,0.30,Very Good,E,SI2,Jan 6
Princess,$400,0.30,Very Good,F,VS1,Jan 6
Princess,$400,0.27,Very Good,F,VVS1,Jan 6
Princess,$400,0.30,Very Good,H,VVS1,Jan 6
Princess,$400,0.30,Very Good,H,VVS1,Jan 6
Princess,$410,0.30,Very Good,G,VVS2,Jan 6
Princess,$420,0.30,Very Good,F,VVS2,Jan 6
Princess,$420,0.30,Very Good,G,VS1,Jan 6
Princess,$420,0.33,Very Good,H,VVS2,Jan 6
Princess,$420,0.31,Very Good,H,VVS1,Jan 6
Princess,$420,0.31,Very Good,H,VVS1,Jan 6
Princess,$420,0.30,Very Good,G,VVS2,Jan 6
Princess,$430,0.30,Very Good,E,VS1,Jan 6
Princess,$430,0.32,Very Good,G,VS1,Jan 6
Princess,$430,0.33,Very Good,H,VS1,Jan 6
Princess,$440,0.31,Very Good,F,VS1,Jan 6
Princess,$440,0.31,Very Good,G,VVS2,Jan 6
Princess,$440,0.30,Very Good,G,VVS1,Jan 6
Princess,$440,0.31,Very Good,F,VS1,Jan 6
Princess,$450,0.32,Very Good,H,IF,Jan 6
Princess,$460,0.36,Very Good,G,VVS2,Jan 6
Princess,$460,0.31,Very Good,F,VVS2,Jan 6
Princess,$460,0.30,Very Good,G,IF,Jan 6
Princess,$460,0.30,Very Good,F,VVS1,Jan 6
Princess,$460,0.35,Very Good,G,VS1,Jan 6
Princess,$470,0.31,Very Good,D,VVS1,Jan 6
Princess,$477,0.31,Very Good,E,SI1,Jan 5
Princess,$477,0.31,Very Good,E,SI1,Jan 5
Princess,$484,0.30,Very Good,D,SI1,Jan 5
Princess,$490,0.32,Very Good,E,VVS2,Jan 6
Princess,$491,0.30,Very Good,E,VVS1,Jan 5
Princess,$491,0.30,Very Good,D,SI1,Jan 5
Princess,$500,0.34,Very Good,F,VVS2,Jan 6
Princess,$502,0.30,Very Good,G,VVS1,Jan 5
Princess,$502,0.30,Very Good,G,VVS1,Jan 5
Princess,$504,0.30,Very Good,E,VS2,Jan 5
Princess,$504,0.30,Very Good,E,VS2,Jan 5
Princess,$508,0.33,Very Good,E,SI1,Jan 5
Princess,$510,0.33,Very Good,F,VVS1,Jan 6
Princess,$510,0.33,Very Good,F,VVS1,Jan 6
Princess,$516,0.32,Very Good,D,SI1,Jan 5
Princess,$519,0.31,Very Good,G,VVS1,Jan 5
Princess,$520,0.35,Very Good,E,VVS1,Jan 6
Princess,$521,0.31,Very Good,E,VS2,Jan 5
Princess,$525,0.30,Very Good,F,VS1,Jan 5
Princess,$526,0.34,Very Good,F,SI1,Jan 5
Princess,$534,0.31,Very Good,D,VS2,Jan 5
Princess,$534,0.31,Very Good,D,VS2,Jan 5
Princess,$535,0.32,Very Good,D,VVS1,Jan 5
Princess,$540,0.30,Very Good,E,IF,Jan 6
Princess,$542,0.36,Very Good,E,VS1,Jan 6
Princess,$548,0.34,Very Good,E,VVS2,Jan 5
Princess,$550,0.34,Very Good,F,IF,Jan 6
Princess,$553,0.30,Very Good,E,VVS2,Jan 5
Princess,$553,0.30,Very Good,E,VVS2,Jan 5
