Shape,Price,Carat,Cut,Color,Clarity,Delivery Date
Round,$310,0.30,Very Good,K,VS1,Jan 6
Round,$333,0.30,Very Good,K,VVS1,Jan 6
Round,$334,0.30,Very Good,K,VVS2,Jan 6
Round,$334,0.30,Very Good,K,VVS2,Jan 6
Round,$334,0.30,Very Good,K,VVS2,Jan 6
Round,$340,0.30,Very Good,K,VVS2,Jan 6
Round,$340,0.30,Very Good,K,VVS2,Jan 6
Round,$346,0.30,Very Good,I,SI1,Jan 6
Round,$351,0.30,Very Good,K,VVS1,Jan 6
Round,$358,0.30,Very Good,K,VVS1,Jan 6
Round,$360,0.32,Very Good,K,IF,Jan 6
Round,$362,0.30,Very Good,J,VVS2,Jan 6
Round,$370,0.30,Very Good,J,VVS1,Jan 6
Round,$370,0.30,Very Good,J,VS1,Jan 6
Round,$370,0.30,Very Good,J,VS1,Jan 6
Round,$370,0.30,Very Good,J,VS1,Jan 6
Round,$375,0.30,Very Good,J,VVS2,Jan 6
Round,$375,0.30,Very Good,J,VVS2,Jan 6
Round,$375,0.31,Very Good,K,VS2,Jan 6
Round,$377,0.30,Very Good,J,VS1,Jan 6
Round,$378,0.31,Very Good,K,VVS2,Jan 6
Round,$382,0.30,Very Good,J,VVS2,Jan 6
Round,$391,0.30,Very Good,J,VVS1,Jan 6
Round,$391,0.30,Very Good,J,VVS1,Jan 6
Round,$391,0.30,Very Good,K,VVS1,Jan 6
Round,$398,0.30,Very Good,F,SI1,Jan 6
Round,$399,0.30,Very Good,I,VVS2,Jan 6
Round,$399,0.30,Very Good,I,VVS2,Jan 6
Round,$399,0.30,Very Good,I,VVS2,Jan 6
Round,$400,0.30,Very Good,F,SI1,Jan 6
Round,$400,0.30,Very Good,G,SI2,Jan 6
Round,$403,0.31,Very Good,K,VVS2,Jan 5
Round,$408,0.30,Very Good,G,SI1,Jan 6
Round,$408,0.29,Very Good,F,SI1,Jan 6
Round,$410,0.30,Very Good,D,SI1,Jan 6
Round,$417,0.31,Very Good,K,VVS1,Jan 6
Round,$417,0.23,Very Good,H,SI1,Jan 5
Round,$420,0.29,Very Good,J,SI1,Jan 5
Round,$420,0.32,Very Good,I,VVS2,Jan 6
Round,$420,0.30,Very Good,F,SI2,Jan 6
Round,$422,0.30,Very Good,I,VVS2,Jan 6
Round,$422,0.30,Very Good,I,VVS2,Jan 6
Round,$422,0.30,Very Good,I,VVS2,Jan 6
Round,$422,0.30,Very Good,I,VVS2,Jan 6
Round,$422,0.30,Very Good,I,SI1,Jan 5
Round,$422,0.30,Very Good,I,SI1,Jan 5
Round,$422,0.30,Very Good,I,SI1,Jan 5
Round,$424,0.30,Very Good,J,VVS2,Jan 6
Round,$424,0.30,Very Good,J,VVS2,Jan 6
Round,$425,0.31,Very Good,J,VVS2,Jan 6
Round,$427,0.33,Very Good,J,VS2,Jan 6
Round,$428,0.30,Very Good,I,SI1,Jan 5
Round,$429,0.30,Very Good,I,VVS1,Jan 6
Round,$430,0.33,Very Good,E,SI2,Jan 6
Round,$430,0.30,Very Good,F,VS2,Jan 6
Round,$431,0.30,Very Good,J,VVS2,Jan 6
Round,$434,0.34,Very Good,K,VVS2,Jan 6
Round,$436,0.31,Very Good,J,VS2,Jan 5
Round,$438,0.31,Very Good,J,VVS2,Jan 6
Round,$440,0.30,Very Good,F,VS1,Jan 6
Round,$440,0.33,Very Good,F,SI1,Jan 6
Round,$441,0.30,Very Good,H,SI2,Jan 5
Round,$442,0.24,Very Good,H,VVS1,Jan 5
Round,$445,0.30,Very Good,I,VVS1,Jan 6
Round,$445,0.30,Very Good,I,VVS1,Jan 6
Round,$450,0.30,Very Good,E,SI1,Jan 6
Round,$452,0.30,Very Good,K,VS1,Jan 5
Round,$457,0.30,Very Good,D,VS2,Jan 6
Round,$458,0.30,Very Good,J,VVS1,Jan 6
Round,$459,0.32,Very Good,J,VVS2,Jan 6
Round,$459,0.30,Very Good,E,SI1,Jan 6
Round,$460,0.30,Very Good,F,VS2,Jan 6
Round,$466,0.32,Very Good,J,VVS1,Jan 6
Round,$467,0.39,Very Good,J,SI2,Jan 5
Round,$468,0.40,Very Good,J,VS2,Jan 6
Round,$472,0.41,Very Good,K,SI1,Jan 6
Round,$478,0.31,Very Good,I,VVS2,Jan 6
Round,$478,0.31,Very Good,I,VVS2,Jan 6
Round,$479,0.35,Very Good,J,VVS2,Jan 6
Round,$480,0.32,Very Good,G,VS2,Jan 6
Round,$490,0.31,Very Good,F,VS1,Jan 6
Round,$490,0.30,Very Good,E,VS2,Jan 6
Round,$490,0.30,Very Good,F,VS2,Jan 6
